term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
strain,ECA828,ECA1058,0,-19.32179977279959,-32.35827685920949,-6.285322686389691,8.61e-5,****
strain,ECA828,ECA1060,0,-18.03182711117774,-30.962743941366412,-5.100910280989071,3.37e-4,***
strain,ECA828,ECA599,0,-18.787550638391643,-31.744303492001748,-5.830797784781536,1.43e-4,***
strain,ECA828,ECA575,0,-14.883093205937334,-27.814010036126003,-1.9521763757486639,0.00935,**
strain,ECA828,CB4856,0,-14.637265068502392,-27.568181898691062,-1.7063482383137227,0.0118,*
strain,ECA828,ECA929,0,-12.374598526291221,-25.30551535647989,0.5563183038974486,0.0759,ns
strain,ECA828,ECA232,0,-11.73789544945239,-24.720848372500104,1.245057473595324,0.122,ns
strain,ECA828,ECA2006,0,-17.487200445897706,-30.418117276086377,-4.556283615709036,6.3e-4,***
strain,ECA828,ECA597,0,-10.66357461911398,-23.59449144930265,2.2673422110746895,0.227,ns
strain,ECA828,ECA1064,0,-2.4468040230345327,-15.377720853223202,10.484112807154137,1,ns
strain,ECA828,N2,0,-2.506155607365514,-15.437072437554184,10.424761222823156,1,ns
strain,ECA1058,ECA1060,0,1.2899726616218503,-11.74650442478805,14.326449748031749,1,ns
strain,ECA1058,ECA599,0,0.5342491344079479,-12.527855185523332,13.596353454339226,1,ns
strain,ECA1058,ECA575,0,4.438706566862258,-8.597770519547641,17.475183653272158,0.994,ns
strain,ECA1058,CB4856,0,4.684534704297198,-8.351942382112702,17.721011790707095,0.991,ns
strain,ECA1058,ECA929,0,6.947201246508371,-6.0892758399015285,19.98367833291827,0.847,ns
strain,ECA1058,ECA232,0,7.583904323347201,-5.504189172548485,20.671997819242886,0.761,ns
strain,ECA1058,ECA2006,0,1.834599326901885,-11.201877759508015,14.871076413311783,1,ns
strain,ECA1058,ECA597,0,8.65822515368561,-4.3782519327242895,21.69470224009551,0.569,ns
strain,ECA1058,ECA1064,0,16.87499574976506,3.83851866335516,29.91147283617496,0.00144,**
strain,ECA1058,N2,0,16.815644165434076,3.7791670790241767,29.852121251843975,0.00153,**
strain,ECA1060,ECA599,0,-0.7557235272139025,-13.71247638082401,12.201029326396204,1,ns
strain,ECA1060,ECA575,0,3.1487339052404075,-9.782182924948263,16.079650735429077,1,ns
strain,ECA1060,CB4856,0,3.394562042675348,-9.536354787513321,16.325478872864018,0.999,ns
strain,ECA1060,ECA929,0,5.6572285848865205,-7.273688245302149,18.58814541507519,0.957,ns
strain,ECA1060,ECA232,0,6.293931661725351,-6.689021261322363,19.276884584773065,0.914,ns
strain,ECA1060,ECA2006,0,0.5446266652800347,-12.386290164908635,13.475543495468704,1,ns
strain,ECA1060,ECA597,0,7.3682524920637595,-5.56266433812491,20.29916932225243,0.781,ns
strain,ECA1060,ECA1064,0,15.585023088143208,2.6541062579545383,28.515939918331878,0.00475,**
strain,ECA1060,N2,0,15.525671503812227,2.594754673623557,28.456588334000898,0.00504,**
strain,ECA599,ECA575,0,3.90445743245431,-9.052295421155797,16.861210286064416,0.998,ns
strain,ECA599,CB4856,0,4.150285569889251,-8.806467283720856,17.107038423499358,0.997,ns
strain,ECA599,ECA929,0,6.412952112100423,-6.543800741509684,19.36970496571053,0.902,ns
strain,ECA599,ECA232,0,7.049655188939253,-5.959030411164635,20.058340789043143,0.832,ns
strain,ECA599,ECA2006,0,1.3003501924939371,-11.65640266111617,14.257103046104044,1,ns
strain,ECA599,ECA597,0,8.123976019277663,-4.832776834332444,21.080728872887768,0.657,ns
strain,ECA599,ECA1064,0,16.340746615357112,3.3839937617470053,29.297499468967217,0.00227,**
